id,image_files
22,"[{""path"": ""/images/vaccaj/vaccaj_5_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_5_2_contralto_baritono.webp"", ""order"": 1}]"
23,"[{""path"": ""/images/vaccaj/vaccaj_5_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_5_2_soprano_tenor.webp"", ""order"": 1}]"
24,"[{""path"": ""/images/vaccaj/vaccaj_6_contralto_baritono.webp"", ""order"": 0}]"
25,"[{""path"": ""/images/vaccaj/vaccaj_6_soprano_tenor.webp"", ""order"": 0}]"
26,"[{""path"": ""/images/vaccaj/vaccaj_7_contralto_baritono.webp"", ""order"": 0}]"
27,"[{""path"": ""/images/vaccaj/vaccaj_7_soprano_tenor.webp"", ""order"": 0}]"
28,"[{""path"": ""/images/vaccaj/vaccaj_8a_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_8a_2_contralto_baritono.webp"", ""order"": 1}]"
29,"[{""path"": ""/images/vaccaj/vaccaj_8a_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_8a_2_soprano_tenor.webp"", ""order"": 1}]"
30,"[{""path"": ""/images/vaccaj/vaccaj_8b_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_8b_2_contralto_baritono.webp"", ""order"": 1}]"
31,"[{""path"": ""/images/vaccaj/vaccaj_8b_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_8b_2_soprano_tenor.webp"", ""order"": 1}]"
32,"[{""path"": ""/images/vaccaj/vaccaj_9a_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_9a_2_contralto_baritono.webp"", ""order"": 1}]"
33,"[{""path"": ""/images/vaccaj/vaccaj_9a_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_9a_2_soprano_tenor.webp"", ""order"": 1}]"
34,"[{""path"": ""/images/vaccaj/vaccaj_9b_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_9b_2_soprano_tenor.webp"", ""order"": 1}]"
35,"[{""path"": ""/images/vaccaj/vaccaj_9b_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_9b_2_contralto_baritono.webp"", ""order"": 1}]"
36,"[{""path"": ""/images/vaccaj/vaccaj_10a_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_10a_2_contralto_baritono.webp"", ""order"": 1}]"
37,"[{""path"": ""/images/vaccaj/vaccaj_10a_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_10a_2_soprano_tenor.webp"", ""order"": 1}]"
38,"[{""path"": ""/images/vaccaj/vaccaj_10b_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_10b_2_contralto_baritono.webp"", ""order"": 1}]"
39,"[{""path"": ""/images/vaccaj/vaccaj_10b_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_10b_2_soprano_tenor.webp"", ""order"": 1}]"
40,"[{""path"": ""/images/vaccaj/vaccaj_11_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_11_2_contralto_baritono.webp"", ""order"": 1}]"
41,"[{""path"": ""/images/vaccaj/vaccaj_11_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_11_2_soprano_tenor.webp"", ""order"": 1}]"
42,"[{""path"": ""/images/vaccaj/vaccaj_12_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_12_2_contralto_baritono.webp"", ""order"": 1}]"
43,"[{""path"": ""/images/vaccaj/vaccaj_12_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_12_2_soprano_tenor.webp"", ""order"": 1}]"
44,"[{""path"": ""/images/vaccaj/vaccaj_13a_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_13a_2_contralto_baritono.webp"", ""order"": 1},{""path"": ""/images/vaccaj/vaccaj_13a_3_contralto_baritono.webp"", ""order"": 2}]"
45,"[{""path"": ""/images/vaccaj/vaccaj_13a_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_13a_2_soprano_tenor.webp"", ""order"": 1},{""path"": ""/images/vaccaj/vaccaj_13a_3_soprano_tenor.webp"", ""order"": 2}]"
46,"[{""path"": ""/images/vaccaj/vaccaj_13b_contralto_baritono.webp"", ""order"": 0}]"
47,"[{""path"": ""/images/vaccaj/vaccaj_13b_soprano_tenor.webp"", ""order"": 0}]"
48,"[{""path"": ""/images/vaccaj/vaccaj_14_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_14_2_contralto_baritono.webp"", ""order"": 1},{""path"": ""/images/vaccaj/vaccaj_14_3_contralto_baritono.webp"", ""order"": 2}]"
49,"[{""path"": ""/images/vaccaj/vaccaj_14_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_14_2_soprano_tenor.webp"", ""order"": 1},{""path"": ""/images/vaccaj/vaccaj_14_3_soprano_tenor.webp"", ""order"": 2}]"
50,"[{""path"": ""/images/vaccaj/vaccaj_15_1_contralto_baritono.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_15_2_contralto_baritono.webp"", ""order"": 1},{""path"": ""/images/vaccaj/vaccaj_15_3_contralto_baritono.webp"", ""order"": 2},{""path"": ""/images/vaccaj/vaccaj_15_4_contralto_baritono.webp"", ""order"": 3}]"
51,"[{""path"": ""/images/vaccaj/vaccaj_15_1_soprano_tenor.webp"", ""order"": 0},{""path"": ""/images/vaccaj/vaccaj_15_2_soprano_tenor.webp"", ""order"": 1},{""path"": ""/images/vaccaj/vaccaj_15_3_soprano_tenor.webp"", ""order"": 2},{""path"": ""/images/vaccaj/vaccaj_15_4_soprano_tenor.webp"", ""order"": 3}]"
52,"[{""path"": ""/images/panofka/panofka_op81_01_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_01_02.webp"", ""order"": 1},{""path"": ""/images/panofka/panofka_op81_01_03.webp"", ""order"": 2}]"
53,"[{""path"": ""/images/panofka/panofka_op81_02_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_02_02.webp"", ""order"": 1}]"
54,"[{""path"": ""/images/panofka/panofka_op81_03_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_03_02.webp"", ""order"": 1}]"
55,"[{""path"": ""/images/panofka/panofka_op81_04_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_04_02.webp"", ""order"": 1}]"
56,"[{""path"": ""/images/panofka/panofka_op81_05_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_05_02.webp"", ""order"": 1}]"
57,"[{""path"": ""/images/panofka/panofka_op81_06_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_06_02.webp"", ""order"": 1}]"
58,"[{""path"": ""/images/panofka/panofka_op81_07_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_07_02.webp"", ""order"": 1}]"
59,"[{""path"": ""/images/panofka/panofka_op81_08_01.webp"", ""order"": 0}]"
60,"[{""path"": ""/images/panofka/panofka_op81_09_01.webp"", ""order"": 0}]"
61,"[{""path"": ""/images/panofka/panofka_op81_10_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_10_02.webp"", ""order"": 1}]"
62,"[{""path"": ""/images/panofka/panofka_op81_11_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_11_02.webp"", ""order"": 1}]"
63,"[{""path"": ""/images/panofka/panofka_op81_12_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_12_02.webp"", ""order"": 1}]"
64,"[{""path"": ""/images/panofka/panofka_op81_13_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_13_02.webp"", ""order"": 1}]"
65,"[{""path"": ""/images/panofka/panofka_op81_14_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_14_02.webp"", ""order"": 1}]"
66,"[{""path"": ""/images/panofka/panofka_op81_15_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_15_02.webp"", ""order"": 1}]"
67,"[{""path"": ""/images/panofka/panofka_op81_16_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_16_02.webp"", ""order"": 1}]"
68,"[{""path"": ""/images/panofka/panofka_op81_17_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_17_02.webp"", ""order"": 1}]"
69,"[{""path"": ""/images/panofka/panofka_op81_18_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_18_02.webp"", ""order"": 1},{""path"": ""/images/panofka/panofka_op81_18_03.webp"", ""order"": 2}]"
70,"[{""path"": ""/images/panofka/panofka_op81_19_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_19_02.webp"", ""order"": 1}]"
71,"[{""path"": ""/images/panofka/panofka_op81_20_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_20_02.webp"", ""order"": 1}]"
72,"[{""path"": ""/images/panofka/panofka_op81_21_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_21_02.webp"", ""order"": 1}]"
73,"[{""path"": ""/images/panofka/panofka_op81_22_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_22_02.webp"", ""order"": 1}]"
74,"[{""path"": ""/images/panofka/panofka_op81_23_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_23_02.webp"", ""order"": 1},{""path"": ""/images/panofka/panofka_op81_23_03.webp"", ""order"": 2}]"
75,"[{""path"": ""/images/panofka/panofka_op81_24_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_24_02.webp"", ""order"": 1}]"
76,"[{""path"": ""/images/panofka/panofka_op81_16_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_16_02.webp"", ""order"": 1}]"
77,"[{""path"": ""/images/panofka/panofka_op81_20_01.webp"", ""order"": 0},{""path"": ""/images/panofka/panofka_op81_20_02.webp"", ""order"": 1}]"
78,"[{""path"": ""/images/panofka/panofka_op81_n01_contralto_baritono_baixo.webp"", ""order"": 0}]"
